"","cylinders","displacement","horsepower","weight","acceleration","year","origin","make","model"
"271",6,231,165,3445,13.4,78,1,"buick","regal sport coupe (turbo)"
"83",8,318,150,4077,14,72,1,"plymouth","satellite custom (sw)"
"321",4,151,90,2678,16.5,80,1,"chevrolet","citation"
"291",6,232,90,3265,18.2,79,1,"amc","concord dl 6"
"23",6,199,97,2774,15.5,70,1,"amc","hornet"
"258",8,318,140,3735,13.2,78,1,"dodge","diplomat"
"50",8,383,180,4955,11.5,71,1,"dodge","monaco (sw)"
"193",4,98,79,2255,17.7,76,1,"dodge","colt"
"197",8,304,120,3962,13.9,76,1,"amc","matador"
"33",8,307,200,4376,15,70,1,"chevy","c20"
"178",4,140,78,2592,18.5,75,1,"pontiac","astro"
"96",8,302,137,4042,14.5,73,1,"ford","gran torino"
"380",4,135,84,2525,16,82,1,"dodge","aries se"
"234",6,231,105,3425,16.9,77,1,"buick","skylark"
"382",4,140,92,2865,16.4,82,1,"ford","fairmont futura"
"195",8,305,140,4215,13,76,1,"chevrolet","chevelle malibu classic"
"404",4,135,84,2295,11.6,82,1,"dodge","rampage"
"308",8,260,90,3420,22.2,79,1,"oldsmobile","cutlass salon brougham"
"135",6,232,100,2901,16,74,1,"amc","hornet"
"210",6,258,95,3193,17.8,76,1,"amc","pacer d/l"
"296",8,318,135,3830,15.2,79,1,"dodge","st. regis"
"237",8,400,180,4220,11.1,77,1,"pontiac","grand prix lj"
"315",6,173,115,2700,12.9,79,1,"oldsmobile","omega brougham"
"352",4,86,64,1875,16.4,81,1,"plymouth","champ"
"17",8,340,160,3609,8,70,1,"plymouth","'cuda 340"
"239",8,400,190,4325,12.2,77,1,"chrysler","cordoba"
"145",8,350,150,4699,14.5,74,1,"buick","century luxus (sw)"
"100",8,351,158,4363,13,73,1,"ford","ltd"
"230",8,260,110,4060,19,77,1,"oldsmobile","cutlass supreme"
"93",8,350,175,4100,13,73,1,"buick","century 350"
"216",8,318,150,3940,13.2,76,1,"plymouth","volare premier v8"
"147",8,302,140,4638,16,74,1,"ford","gran torino (sw)"
"196",8,318,150,4190,13,76,1,"dodge","coronet brougham"
"279",4,156,105,2745,16.7,78,1,"plymouth","sapporo"
"231",8,318,145,4140,13.7,77,1,"dodge","monaco brougham"
"319",4,98,70,2120,15.5,80,1,"chevrolet","chevette"
"37",4,140,90,2264,15.5,71,1,"chevrolet","vega 2300"
"350",4,135,84,2385,12.9,81,1,"plymouth","reliant"
"379",4,112,85,2575,16.2,82,1,"pontiac","j2000 se hatchback"
"41",6,232,100,2634,13,71,1,"amc","gremlin"
"6",8,429,198,4341,10,70,1,"ford","galaxie 500"
"22",6,198,95,2833,15.5,70,1,"plymouth","duster"
"184",6,232,90,3211,17,75,1,"amc","pacer"
"406",4,119,82,2720,19.4,82,1,"chevy","s-10"
"167",8,351,148,4657,13.5,75,1,"ford","ltd"
"57",4,122,86,2220,14,71,1,"mercury","capri 2000"
"266",6,231,105,3380,15.8,78,1,"buick","century special"
"192",4,140,92,2572,14.9,76,1,"capri","ii"
"94",8,304,150,3672,11.5,73,1,"amc","matador"
"43",6,250,100,3329,15.5,71,1,"chevrolet","chevelle malibu"
"136",6,250,100,3336,17,74,1,"chevrolet","nova"
"97",8,318,150,3777,12.5,73,1,"dodge","coronet custom"
"265",6,232,90,3210,17.2,78,1,"amc","concord"
"170",6,258,110,3730,19,75,1,"amc","matador"
"34",8,318,210,4382,13.5,70,1,"dodge","d200"
"176",4,140,83,2639,17,75,1,"ford","pinto"
"174",8,302,129,3169,12,75,1,"ford","mustang ii"
"304",4,121,80,2670,15,79,1,"amc","spirit dl"
"322",4,140,88,2870,18.1,80,1,"ford","fairmont"
"207",6,225,100,3651,17.7,76,1,"dodge","aspen se"
