"","x"
"1",0.241215099536201
"2",0.262649535037194
"3",0.208014597676509
"4",0.230612234153932
"5",0.239812466568131
"6",0.23375492412197
"7",0.27894294565113
"8",0.212746053553363
"9",0.252895891226544
"10",0.301029995663981
"11",0.221064729457504
"12",0.262649535037194
"13",0.205846832460434
"14",0.229486647305692
"15",0.218104291985532
"16",0.242172792684926
"17",0.2
"18",0.218391217410384
"19",0.235408913366638
"20",0.242172792684926
"21",0.238899159630428
"22",0.25
"23",0.21078542230231
"24",0.18920035951687
"25",0.262649535037194
"26",0.252895891226544
"27",0.27023815442732
"28",0.27023815442732
"29",0.244650542118226
"30",0.27023815442732
"31",0.27023815442732
"32",0.262649535037194
"33",0.25
"34",0.220455982765775
"35",0.252895891226544
"36",0.199820106265055
"37",0.208014597676509
"38",0.203795047090506
"39",0.2018490865821
"40",0.235408913366638
"41",0.255958024809815
"42",0.224243824217575
"43",0.235408913366638
"44",0.2018490865821
"45",0.262649535037194
"46",0.221064729457504
"47",0.229117517354152
"48",0.215338279036697
"49",0.262649535037194
"50",0.244650542118226
"51",0.255958024809815
"52",0.255958024809815
"53",0.23375492412197
"54",0.255958024809815
"55",0.289064826317888
"56",0.221064729457504
"57",0.27023815442732
"58",0.209375675759403
"59",0.211753773307876
"60",0.231378213159759
