"","x"
"1",18
"2",15
"3",18
"4",16
"5",17
"6",14
"7",14
"8",14
"9",15
"10",15
"11",15
"12",14
"13",24
"14",21
"15",27
"16",26
"17",25
"18",24
"19",25
"20",26
"21",21
"22",10
"23",9
"24",27
"25",25
"26",25
"27",16
"28",19
"29",18
"30",14
"31",14
"32",14
"33",14
"34",13
"35",13
"36",18
"37",22
"38",19
"39",18
"40",28
"41",30
"42",30
"43",31
"44",35
"45",27
"46",26
"47",24
"48",25
"49",23
"50",20
"51",21
"52",13
"53",14
"54",15
"55",14
"56",17
"57",11
"58",13
"59",12
"60",13
"61",19
"62",15
"63",13
"64",13
"65",18
"66",22
"67",21
"68",26
"69",22
"70",28
"71",23
"72",28
"73",27
"74",13
"75",12
"76",13
"77",14
"78",13
"79",12
"80",13
"81",18
"82",16
"83",18
"84",18
"85",23
"86",26
"87",11
"88",12
"89",13
"90",12
"91",18
"92",20
"93",21
"94",22
"95",18
"96",19
"97",21
"98",26
"99",15
"100",16
"101",29
"102",24
"103",20
"104",19
"105",15
"106",24
"107",20
"108",11
"109",20
"110",21
"111",31
"112",26
"113",32
"114",25
"115",16
"116",16
"117",18
"118",16
"119",14
"120",14
"121",29
"122",26
"123",26
"124",31
"125",32
"126",28
"127",24
"128",26
"129",24
"130",26
"131",31
"132",19
"133",18
"134",15
"135",15
"136",16
"137",15
"138",16
"139",17
"140",16
"141",18
"142",21
"143",20
"144",29
"145",20
"146",24
"147",25
"148",24
"149",18
"150",29
"151",23
"152",23
"153",22
"154",25
"155",33
"156",28
"157",25
"158",27
"159",14.5
"160",22
"161",22
"162",24
"163",22.5
"164",29
"165",24.5
"166",29
"167",33
"168",18
"169",18.5
"170",29.5
"171",32
"172",28
"173",26.5
"174",20
"175",19
"176",19
"177",16.5
"178",16.5
"179",13
"180",13
"181",13
"182",31.5
"183",30
"184",36
"185",25.5
"186",33.5
"187",17.5
"188",15
"189",17.5
"190",19
"191",18.5
"192",15.5
"193",16
"194",29
"195",24.5
"196",26
"197",25.5
"198",30.5
"199",33.5
"200",30
"201",30.5
"202",22
"203",21.5
"204",21.5
"205",43.1
"206",36.1
"207",32.8
"208",39.4
"209",36.1
"210",19.9
"211",20.2
"212",19.2
"213",20.5
"214",20.2
"215",25.1
"216",20.5
"217",20.8
"218",18.6
"219",18.1
"220",19.2
"221",18.1
"222",17.5
"223",30
"224",27.5
"225",27.2
"226",30.9
"227",21.1
"228",23.8
"229",23.9
"230",20.3
"231",17
"232",21.6
"233",16.2
"234",31.5
"235",29.5
"236",21.5
"237",19.8
"238",22.3
"239",20.6
"240",17
"241",17.6
"242",16.5
"243",16.9
"244",15.5
"245",19.2
"246",18.5
"247",31.9
"248",34.1
"249",35.7
"250",25.4
"251",23
"252",27.2
"253",34.2
"254",34.5
"255",31.8
"256",37.3
"257",28.4
"258",28.8
"259",33.5
"260",41.5
"261",38.1
"262",37.2
"263",24.3
"264",19.1
"265",34.3
"266",29.8
"267",31.3
"268",37
"269",32.2
"270",46.6
"271",27.9
"272",40.8
"273",44.3
"274",43.4
"275",36.4
"276",30
"277",44.6
"278",40.9
"279",33.8
"280",29.8
"281",32.7
"282",23.7
"283",35
"284",23.6
"285",32.4
"286",27.2
"287",26.6
"288",25.8
"289",23.5
"290",39.1
"291",35.1
"292",32.3
"293",37
"294",37.7
"295",34.1
"296",34.7
"297",34.4
"298",29.9
"299",33
"300",34.5
"301",33.7
"302",32.4
"303",32.9
"304",31.6
"305",28.1
"306",30.7
"307",25.4
"308",24.2
"309",22.4
"310",26.6
"311",20.2
"312",17.6
"313",28
"314",27
"315",34
"316",27
"317",23
"318",36
"319",37
"320",31
"321",38
"322",36
"323",36
"324",36
"325",34
"326",38
"327",32
"328",38
"329",25
"330",38
"331",26
"332",22
"333",32
"334",36
"335",27
"336",27
"337",44
"338",28
